,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask,FireMask
elevation,1,0.170541289,0.272093715,-0.321102515,-0.041654076,-0.328727792,-0.155809562,-0.451579762,-0.222257032,-0.541010967,0.552702879,0.023317777,0.047556392
th,,1,-0.092399765,0.336010414,0.271131262,0.191083353,-0.060792783,-0.312885456,-0.320493743,-0.153171311,0.238186118,0.016744171,0.033173103
vs,,,1,-0.497065706,-0.349216757,-0.722201978,-0.042957844,-0.54331207,-0.333742769,-0.228465351,0.288242367,-0.015759252,0.016708226
tmmn,,,,1,0.860285995,0.61837264,-0.065035233,0.164783574,0.077126509,0.176664039,0.130976217,0.056789656,0.026166747
tmmx,,,,,1,0.429523328,-0.089290299,0.035160283,0.023109921,0.060531516,0.362616873,0.050614516,0.021868715
sph,,,,,,1,0.049362975,0.342375336,0.248406465,0.144084269,-0.371984703,0.014196708,-0.008312399
pr,,,,,,,1,0.21393435,0.036399296,0.192244736,-0.174723352,-0.02305725,-0.032345073
pdsi,,,,,,,,1,0.36840979,0.257519924,-0.493859142,-0.012466411,-0.066459179
NDVI,,,,,,,,,1,0.287435274,-0.438179516,0.0390245,0.012858469
population,,,,,,,,,,1,-0.337003358,-0.024030102,-0.017200569
erc,,,,,,,,,,,1,0.087135327,0.089632104
PrevFireMask,,,,,,,,,,,,1,0.323455434
FireMask,,,,,,,,,,,,,1
