,FireMask,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask
FireMask,1.0,0.11572068901485381,-0.09848511651351945,-0.09549133616099237,0.05604495527878885,-0.09619816711121498,-0.09843299371888861,0.11260284771241381,0.039951783642785836,0.01791529133056939,0.02346625313239865,0.0032204613238520597,0.00193888202106646
elevation,0.11572068901485381,1.0,-0.29557624374846286,-0.01784905958458998,0.5259808195836744,-0.5700746021702161,-0.4655409248366508,-0.03237369296559686,0.3771084186763742,0.3510621532808443,-0.4260242955014248,-0.22538339862681914,-0.01318849759508753
th,-0.09848511651351945,-0.29557624374846286,1.0,0.5564045728782364,-0.47034355840635805,0.8367114342061298,0.5047225272133216,-0.2045421359892566,-0.3078255149539289,-0.4345066821652119,0.22844671938261682,0.07271568235310781,0.00841448976511193
vs,-0.09549133616099237,-0.01784905958458998,0.5564045728782364,1.0,0.35733025874779806,0.2096198692976376,-0.02379765931946114,-0.8432957215506636,0.09816308625697989,-0.1508102666628072,-0.2101913642518916,0.42809222583972867,-0.014482081023043835
tmmn,0.05604495527878885,0.5259808195836744,-0.47034355840635805,0.35733025874779806,1.0,-0.7078934019220348,-0.4993802311049782,-0.6081936218027915,0.5999448577518931,0.4310887169209189,-0.534095653028477,0.16698711405542604,-0.01583297874097371
tmmx,-0.09619816711121498,-0.5700746021702161,0.8367114342061298,0.2096198692976376,-0.7078934019220348,1.0,0.8026538279559776,0.07292881366039974,-0.32492629622686775,-0.44761526649931743,0.3338363369697157,-0.15554176161378322,0.027723931243415045
sph,-0.09843299371888861,-0.4655409248366508,0.5047225272133216,-0.02379765931946114,-0.4993802311049782,0.8026538279559776,1.0,0.1095989899897576,-0.012694136766712162,-0.19818140520742847,0.1769527043518377,-0.46927384355570423,0.033753361443157555
pr,0.11260284771241381,-0.03237369296559686,-0.2045421359892566,-0.8432957215506636,-0.6081936218027915,0.07292881366039974,0.1095989899897576,1.0,-0.22952896187999616,-0.052900398025495156,0.3531746142405756,-0.3838251859860148,0.018366865865841124
pdsi,0.039951783642785836,0.3771084186763742,-0.3078255149539289,0.09816308625697989,0.5999448577518931,-0.32492629622686775,-0.012694136766712162,-0.22952896187999616,1.0,0.37970338024056427,-0.5073382418194798,-0.2772657389966662,0.010429387993215
NDVI,0.01791529133056939,0.3510621532808443,-0.4345066821652119,-0.1508102666628072,0.4310887169209189,-0.44761526649931743,-0.19818140520742847,-0.052900398025495156,0.37970338024056427,1.0,-0.2627738708747269,-0.15906078015308267,-0.01053624022997377
population,0.02346625313239865,-0.4260242955014248,0.22844671938261682,-0.2101913642518916,-0.534095653028477,0.3338363369697157,0.1769527043518377,0.3531746142405756,-0.5073382418194798,-0.2627738708747269,1.0,0.2197760602636842,0.018359926426535545
erc,0.0032204613238520597,-0.22538339862681914,0.07271568235310781,0.42809222583972867,0.16698711405542604,-0.15554176161378322,-0.46927384355570423,-0.3838251859860148,-0.2772657389966662,-0.15906078015308267,0.2197760602636842,1.0,-0.036218558898474654
PrevFireMask,0.00193888202106646,-0.01318849759508753,0.00841448976511193,-0.014482081023043835,-0.01583297874097371,0.027723931243415045,0.033753361443157555,0.018366865865841124,0.010429387993215,-0.01053624022997377,0.018359926426535545,-0.036218558898474654,1.0
